"name","hour","max_high_per_hour"
"BYND","09","74.54399871826172"
"DDOG","09","186.2100067138672"
"FB","09","335.3699951171875"
"NFLX","09","675.2000122070312"
"OKTA","09","226.4600067138672"
"PINS","09","41.709999084472656"
"SHOP","09","1629.93798828125"
"SNAP","09","49.400001525878906"
"SQ","09","217.75"
"TTD","09","110.86650085449219"
"BYND","10","73.27999877929688"
"DDOG","10","184.10000610351562"
"FB","10","335.80999755859375"
"NFLX","10","675.3800048828125"
"OKTA","10","225.35499572753906"
"PINS","10","41.63999938964844"
"SHOP","10","1625.989990234375"
"SNAP","10","49.06999969482422"
"SQ","10","215.4600067138672"
"TTD","10","110.27999877929688"
"BYND","11","71.04000091552734"
"DDOG","11","178.53900146484375"
"FB","11","329.79998779296875"
"NFLX","11","661.989990234375"
"OKTA","11","217.0800018310547"
"PINS","11","40.43000030517578"
"SHOP","11","1561.97998046875"
"SNAP","11","47.33000183105469"
"SQ","11","210.6300048828125"
"TTD","11","105.83000183105469"
"BYND","12","71.0199966430664"
"DDOG","12","177.2100067138672"
"FB","12","328.2900085449219"
"NFLX","12","658.239990234375"
"OKTA","12","216.1833953857422"
"PINS","12","40.09000015258789"
"SHOP","12","1544.7698974609375"
"SNAP","12","46.97999954223633"
"SQ","12","209.11000061035156"
"TTD","12","103.84989929199219"
"BYND","13","71.23999786376953"
"DDOG","13","177.72999572753906"
"FB","13","328.0199890136719"
"NFLX","13","651.3526000976562"
"OKTA","13","216.7100067138672"
"PINS","13","40.119998931884766"
"SHOP","13","1533.18994140625"
"SNAP","13","47.279998779296875"
"SQ","13","208.41000366210938"
"TTD","13","104.69499969482422"
"BYND","14","71.4000015258789"
"DDOG","14","179.38999938964844"
"FB","14","328.1831970214844"
"NFLX","14","650.5900268554688"
"OKTA","14","216.3699951171875"
"PINS","14","40.22999954223633"
"SHOP","14","1536.2099609375"
"SNAP","14","47.1349983215332"
"SQ","14","209.02999877929688"
"TTD","14","105.12000274658203"
"BYND","15","71.27999877929688"
"DDOG","15","179.80999755859375"
"FB","15","327.3009033203125"
"NFLX","15","645.9500122070312"
"OKTA","15","215.875"
"PINS","15","40.41999816894531"
"SHOP","15","1529.800048828125"
"SNAP","15","47.68000030517578"
"SQ","15","210.63499450683594"
"TTD","15","104.68000030517578"
